ano,mes,chuva_mm,normal_mm,anomalia_mm,anomalia_pct,oni,fase
1968,2,57.25142857142857,165.61752380952382,-108.36609523809526,-65.43153933561207,-0.74,La Nina fraca
1968,3,96.49428571428572,128.59952380952382,-32.10523809523809,-24.965285363568697,-0.62,La Nina fraca
1968,4,98.9,123.01209523809524,-24.112095238095236,-19.60140195273093,-0.44,neutro
1968,5,61.86571428571429,149.96038095238094,-88.09466666666665,-58.745293995112355,-0.04,neutro
1968,6,32.857142857142854,131.05228571428572,-98.19514285714286,-74.92821839919945,0.28,neutro
1968,7,24.737142857142857,105.8864761904762,-81.14933333333335,-76.63805261340087,0.58,El Nino fraco
1968,8,66.29428571428572,92.07361904761905,-25.779333333333327,-27.998609808093516,0.53,El Nino fraco
1968,9,87.77714285714285,147.04580952380954,-59.26866666666669,-40.306260245430494,0.45,neutro
1968,10,181.59428571428572,193.30371428571428,-11.70942857142856,-6.057529010602112,0.55,El Nino fraco
1968,11,62.77142857142857,153.6029523809524,-90.83152380952382,-59.13397001917747,0.73,El Nino fraco
1968,12,338.4942857142857,185.4586666666667,153.035619047619,82.51737262981455,0.98,El Nino fraco
1969,1,148.13142857142856,165.94780952380952,-17.816380952380968,-10.73613505565721,1.13,El Nino moderado
1969,2,100.65142857142858,165.61752380952382,-64.96609523809524,-39.22658287827834,1.09,El Nino moderado
1969,3,127.07142857142857,128.59952380952382,-1.528095238095247,-1.188258861952395,0.95,El Nino fraco
1969,4,91.11142857142858,123.01209523809524,-31.900666666666666,-25.93295123127652,0.77,El Nino fraco
1969,5,115.89714285714285,149.96038095238094,-34.06323809523809,-22.71482499504631,0.61,El Nino fraco
1969,6,90.02285714285713,131.05228571428572,-41.02942857142858,-31.30767872365011,0.43,neutro
1969,7,31.740000000000002,105.8864761904762,-74.14647619047619,-70.02450063320285,0.36,neutro
1969,8,86.73714285714286,92.07361904761905,-5.336476190476191,-5.795879694612903,0.51,El Nino fraco
1969,9,146.51714285714286,147.04580952380954,-0.5286666666666804,-0.35952514959705745,0.79,El Nino fraco
1969,10,116.90857142857142,193.30371428571428,-76.39514285714286,-39.5207837259797,0.86,El Nino fraco
1969,11,231.12571428571428,153.6029523809524,77.5227619047619,50.46957802770407,0.81,El Nino fraco
